Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
EA27-Verify Email-First character cannot have space,N5-61,10280,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,15/Mar/23 9:47 PM,15/Mar/23 9:47 PM,19/Mar/23 7:34 PM,,,0,EditAccount,"EA: Edit Accaount

27-Verify Email-First character cannot have space

Họ tên

[Email: ____ltbang29092003@gmail.com|mailto:Email:ltbang29092003@gmail.com]

Số điện thoại:0344.270.054

Địa chỉ

Ngày sinh:29/09/2003",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,,Như mong đợi,,,,,,,,,,N5-40,EditAccount,,,"1)Hiển thị thông báo:""Email không đúng định dạng""",,,,,0|i001kn:,,N5 Sprint 1,,,,,,,,Unit,"1)Nhập tất cả các trường
2)Nhấn cập nhật",Pass,,,To Do
EA24-Verify FullName-First character cannot have space,N5-60,10279,Bug,Open,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,15/Mar/23 9:17 PM,17/Mar/23 8:28 PM,19/Mar/23 7:34 PM,,,0,EditAccount,"EA: Edit Accaount

24:Verify FullName-First character cannot have space



Test data:

Họ tên __thanhbang

[Email:ltbang29092003@gmail.com|mailto:Email:ltbang29092003@gmail.com]

Số điện thoại:0344.270.054

Địa chỉ

Ngày sinh:29/09/2003",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,15/Mar/23 9:17 PM;62a0c1144e1a640070c4143b;RF24.png;https://tranthaodien.atlassian.net/secure/attachment/10150/RF24.png,Không như mong đợi,,,,,,,,,,N5-40,EditAccount,,,"Hiển thị lỗi:""fullName không đúng dịnh dạng""",,,,,0|i001kf:,,N5 Sprint 1,,,,,,,,Unit,"1)Nhập tất cả các trường
2)Nhấn cập nhật",Fail,,,To Do
EA23-Verify FullName -	Special character are not allowed ,N5-59,10278,Bug,Open,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,15/Mar/23 9:14 PM,17/Mar/23 8:26 PM,19/Mar/23 7:34 PM,,,0,EditAccount,"EA: Edit Accaount

23:Verify FullName -Special character are not allowed 

Họ tên: ###thanhbang

[Email:ltbang29092003@gmail.com|mailto:Email:ltbang29092003@gmail.com]

Số điện thoại:0344.270.054

Địa chỉ

Ngày sinh:29/09/2003",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,15/Mar/23 9:13 PM;62a0c1144e1a640070c4143b;RF23.png;https://tranthaodien.atlassian.net/secure/attachment/10149/RF23.png,không như mong đợi,,,,,,,,,,N5-40,EditAccount,,,"1)Hiển thị lỗi:""fullName không chứa ký tự đặc biệt""",,,,,0|i001k7:,,N5 Sprint 1,,,,,,,,Unit,"1)Nhập tất cả các trường
2)Nhấn cập nhật",Fail,,,To Do
LF21-Verify Password-First character cannot have space,N5-58,10277,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,15/Mar/23 8:52 PM,15/Mar/23 8:52 PM,19/Mar/23 7:34 PM,,,0,LoginForm,"LF: LoginForm

21:Verify Password-First character cannot have space

Test data:

Email: [abc@gmail.com|mailto:___abc@gmail.com]

Mật khẩu: ___123456",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,,"Hiển thị lỗi:""Mật khẩu không đúng định dạng""",,,,,,,,,,N5-1,LOGIN,,,"Hiển thị lỗi:""Mật khẩu không đúng định dạng""",,,,,0|i001jz:,,N5 Sprint 1,,,,,,,,Unit,"1)Nhập khoảng trắng trước trường mật khẩu
2)Nhấn đăng nhập",Pass,,,To Do
LF20	-Verify Password -Password must be at least 6 characters.,N5-57,10276,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,15/Mar/23 8:51 PM,15/Mar/23 8:51 PM,19/Mar/23 7:34 PM,,,0,LoginForm,"LF: LoginForm

20:Verify Password -Password must be at least 6 characters.

Test data:

Email: [abc@gmail.com|mailto:___abc@gmail.com]

Mật khẩu: 123",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,,"1)Hiển thị lỗi:""Mật khẩu dài tối thiểu 6 kí tự""",,,,,,,,,,N5-1,LOGIN,,,"1)Hiển thị lỗi:""Mật khẩu dài tối thiểu 6 kí tự""",,,,,0|i001jr:,,N5 Sprint 1,,,,,,,,Unit,"1)Nhập trường mật khẩu
2)Nhấn đăng nhập",Pass,,,To Do
LF19-Verify Password-Password no must not be blank,N5-56,10275,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,15/Mar/23 8:49 PM,15/Mar/23 8:49 PM,19/Mar/23 7:34 PM,,,0,LoginForm,"LF: LoginForm

19:Verify Password-Password no must not be blank

Test data:

Email: [abc@gmail.com|mailto:___abc@gmail.com]

Mật khẩu: ",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,,"Hiển thị lỗi:""Mời nhập mật khẩu""",,,,,,,,,,N5-1,LOGIN,,,"Hiển thị lỗi:""Mời nhập mật khẩu""",,,,,0|i001jj:,,N5 Sprint 1,,,,,,,,Unit,"1)Bỏ trống trường mật khẩu
2)Nhấn đăng nhập",Pass,,,To Do
LF18	-Verify Email-First character cannot have space,N5-55,10274,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,15/Mar/23 8:47 PM,15/Mar/23 8:47 PM,19/Mar/23 7:34 PM,,,0,LoginForm,"LF: LoginForm

18:Verify Email-First character cannot have space



Test data:

Email: [___abc@gmail.com|mailto:___abc@gmail.com]

Mật khẩu: 123456",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,,"Hiển thị lỗi:""Email không đúng định dạng""",,,,,,,,,,N5-1,LOGIN,,,"Hiển thị lỗi:""Email không đúng định dạng""",,,,,0|i001jb:,,N5 Sprint 1,,,,,,,,Unit,"1)Nhập khoảng trắng trước trường email
2)Nhấn đăng nhập",Pass,,,To Do
LF17	-Verify Emai-Email ID is not valid,N5-54,10273,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,15/Mar/23 8:44 PM,15/Mar/23 8:44 PM,19/Mar/23 7:34 PM,,,0,LoginForm,"LF: LoginForm

17	-Verify Emai-Email ID is not valid",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,,"Hiển thị lôi:""Email không đúng định dạng""",,,,,,,,,,N5-1,LOGIN,,,"Hiển thị lôi:""Email không đúng định dạng""",,,,,0|i001j3:,,N5 Sprint 1,,,,,,,,Unit,"1)Nhập email không đúng định dạng
2) Nhấn đăng nhập",Pass,,,To Do
RF07-Verify Telephone Number-Mobile no must not be blank,N5-53,10272,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,15/Mar/23 8:10 PM,15/Mar/23 8:10 PM,19/Mar/23 7:34 PM,,,0,RegisterFrom,"RF: RegisterFrom

07-Verify Telephone Number-Mobile no must not be blank",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,,"Hiển thị lỗi:'Mời nhập số điện thoại""",,,,,,,,,,N5-2,REGISTER,,,"Hiển thị lỗi:'Mời nhập số điện thoại""",,,,,0|i001iv:,,N5 Sprint 1,,,,,,,,Unit,"1)Bỏ trống trường số điện thoại
2)Nhấn đăng ký",Pass,,,To Do
CP35-Old Password- must not be blank,N5-50,10269,Story,To Do,N5,N5_CD21LM1,software,Trần Thảo Điền,629810d99582b8006fc58c21,,Medium,,,,Thanh Bằng,62a0c1144e1a640070c4143b,Thanh Bằng,62a0c1144e1a640070c4143b,05/Jan/23 5:06 PM,15/Mar/23 9:00 PM,19/Mar/23 7:34 PM,,,0,ChangePassword,"CP: ChangePassword

35:Old Password- must not be blank

Mật khẩu cũ_:29092003_

Xác nhận mật khẩu",,Thanh Bằng,62a0c1144e1a640070c4143b,,,,,,,,,,Đúng như mong đợi,,,,,,,,,,N5-36,ChangePassword,,,"Thông báo lỗi: ""Mời nhập lại mật khẩu tối thiểu 6 ký tự.""",,,,,0|i001i7:,,N5 Sprint 1,,,,,,,,Unit,"1,Bỏ trường  mật khẩu cũ
2,Bấm cập nhật",Pass,,,To Do
